transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
15,Jude Bellingham,https://www.transfermarkt.co.uk/jude-bellingham/profil/spieler/581678,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Jude Bellingha0000,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
16,Gareth Bale,https://www.transfermarkt.co.uk/gareth-bale/profil/spieler/39381,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Right Winger,,Gareth Bale,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
17,Harry Kane,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Harry Kane,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
18,Randal Kolo Muani,https://www.transfermarkt.co.uk/randal-kolo-muani/profil/spieler/487969,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Randal Kolo Muani,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
19,Antony,https://www.transfermarkt.co.uk/antony/profil/spieler/602105,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Right Winger,,Antony,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
20,Cristiano Ronaldo,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Cristiano Ronaldo,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
21,Josko Gvardiol,https://www.transfermarkt.co.uk/josko-gvardiol/profil/spieler/475959,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left-Back,,Josko Gvardiol,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
22,Neymar,https://www.transfermarkt.co.uk/neymar/profil/spieler/68290,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left Winger,,Ney0000ar,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
23,Gonzalo Higuaín,https://www.transfermarkt.co.uk/gonzalo-higuain/profil/spieler/39153,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Gonzalo Higuaín,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
24,Neymar,https://www.transfermarkt.co.uk/neymar/profil/spieler/68290,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left Winger,,Ney0000ar,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
25,Harry Maguire,https://www.transfermarkt.co.uk/harry-maguire/profil/spieler/177907,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Back,,Harry Maguire,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
26,Frenkie de Jong,https://www.transfermarkt.co.uk/frenkie-de-jong/profil/spieler/326330,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Central Midfield,,Frenkie de Jong,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
27,Matthijs de Ligt,https://www.transfermarkt.co.uk/matthijs-de-ligt/profil/spieler/326031,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Back,,Matthijs de Ligt,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
28,Darwin Núñez,https://www.transfermarkt.co.uk/darwin-nunez/profil/spieler/546543,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Darwin Núñez,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
29,Jadon Sancho,https://www.transfermarkt.co.uk/jadon-sancho/profil/spieler/401173,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left Winger,,Jadon Sancho,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
30,Romelu Lukaku,https://www.transfermarkt.co.uk/romelu-lukaku/profil/spieler/96341,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Ro0000elu Lukaku,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
31,Virgil van Dijk,https://www.transfermarkt.co.uk/virgil-van-dijk/profil/spieler/139208,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Back,,Virgil van Dijk,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
32,Dušan Vlahović,https://www.transfermarkt.co.uk/dusan-vlahovic/profil/spieler/357498,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Dušan Vlahović,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
33,Luis Suárez,https://www.transfermarkt.co.uk/luis-suarez/profil/spieler/44352,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Luis Suárez,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
34,Arthur Melo,https://www.transfermarkt.co.uk/arthur-melo/profil/spieler/362842,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Defensive Midfield,,Arthur Melo,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
35,Wesley Fofana,https://www.transfermarkt.co.uk/wesley-fofana/profil/spieler/475411,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Back,,Wesley Fofana,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
36,Aurélien Tchouaméni,https://www.transfermarkt.co.uk/aurelien-tchouameni/profil/spieler/413112,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Defensive Midfield,,Aurélien Tchoua0000éni,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
37,Kai Havertz,https://www.transfermarkt.co.uk/kai-havertz/profil/spieler/309400,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Kai Havertz,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
38,Lucas Hernández,https://www.transfermarkt.co.uk/lucas-hernandez/profil/spieler/281963,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left-Back,,Lucas Hernández,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
39,Nicolas Pépé,https://www.transfermarkt.co.uk/nicolas-pepe/profil/spieler/343052,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Right Winger,,Nicolas Pépé,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
40,Kepa Arrizabalaga,https://www.transfermarkt.co.uk/kepa-arrizabalaga/profil/spieler/192279,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Goalkeeper,,Kepa Arrizabalaga,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
41,Victor Osimhen,https://www.transfermarkt.co.uk/victor-osimhen/profil/spieler/401923,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Victor Osi0000hen,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
42,Zinédine Zidane,https://www.transfermarkt.co.uk/zinedine-zidane/profil/spieler/3111,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Zinédine Zidane,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
43,Kevin De Bruyne,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Kevin De Bruyne,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
44,Julián Alvarez,https://www.transfermarkt.co.uk/julian-alvarez/profil/spieler/576024,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Julián Alvarez,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
45,Kai Havertz,https://www.transfermarkt.co.uk/kai-havertz/profil/spieler/309400,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Kai Havertz,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
46,James Rodríguez,https://www.transfermarkt.co.uk/james-rodriguez/profil/spieler/88103,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Ja0000es Rodríguez,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
47,Ángel Di María,https://www.transfermarkt.co.uk/angel-di-maria/profil/spieler/45320,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Right Winger,,Ángel Di María,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
48,Romelu Lukaku,https://www.transfermarkt.co.uk/romelu-lukaku/profil/spieler/96341,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Ro0000elu Lukaku,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
49,Rasmus Højlund,https://www.transfermarkt.co.uk/rasmus-hojlund/profil/spieler/610442,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Ras0000us Højlund,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
50,Thomas Lemar,https://www.transfermarkt.co.uk/thomas-lemar/profil/spieler/205562,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Tho0000as Le0000ar,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
51,Rúben Dias,https://www.transfermarkt.co.uk/ruben-dias/profil/spieler/258004,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Back,,Rúben Dias,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
52,Casemiro,https://www.transfermarkt.co.uk/casemiro/profil/spieler/16306,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Defensive Midfield,,Case0000iro,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
53,Dominik Szoboszlai,https://www.transfermarkt.co.uk/dominik-szoboszlai/profil/spieler/451276,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Central Midfield,,Do0000inik Szoboszlai,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
54,Mykhaylo Mudryk,https://www.transfermarkt.co.uk/mykhaylo-mudryk/profil/spieler/537860,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left Winger,,Mykhaylo Mudryk,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
55,Alexander Isak,https://www.transfermarkt.co.uk/alexander-isak/profil/spieler/349066,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Alexander Isak,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
56,Rodri,https://www.transfermarkt.co.uk/rodri/profil/spieler/357565,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Defensive Midfield,,Rodri,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
57,Zlatan Ibrahimović,https://www.transfermarkt.co.uk/zlatan-ibrahimovic/profil/spieler/3455,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Zlatan Ibrahi0000ović,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
58,Achraf Hakimi,https://www.transfermarkt.co.uk/achraf-hakimi/profil/spieler/398073,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Right-Back,,Achraf Haki0000i,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
59,Riyad Mahrez,https://www.transfermarkt.co.uk/riyad-mahrez/profil/spieler/171424,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Right Winger,,Riyad Mahrez,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
60,Matthijs de Ligt,https://www.transfermarkt.co.uk/matthijs-de-ligt/profil/spieler/326031,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Back,,Matthijs de Ligt,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
61,Kaká,https://www.transfermarkt.co.uk/kaka/profil/spieler/3366,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Kaká,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
62,Álvaro Morata,https://www.transfermarkt.co.uk/alvaro-morata/profil/spieler/128223,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Álvaro Morata,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
63,Marc Cucurella,https://www.transfermarkt.co.uk/marc-cucurella/profil/spieler/284857,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left-Back,,Marc Cucurella,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
64,Gonçalo Ramos,https://www.transfermarkt.co.uk/goncalo-ramos/profil/spieler/550550,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Gonçalo Ra0000os,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
65,Bruno Fernandes,https://www.transfermarkt.co.uk/bruno-fernandes/profil/spieler/240306,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Bruno Fernandes,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
