transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
20,Eamonn Bannon,https://www.transfermarkt.co.uk/eamonn-bannon/profil/spieler/116145,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,20,-,78/79,['Scotland'],Heart of Midlothian FC,MISSING VALUE,Chelsea FC,First Division (- 91/92),€325k
21,Glenn Roeder,https://www.transfermarkt.co.uk/glenn-roeder/profil/spieler/480740,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Back,22,-,78/79,['England'],Leyton Orient,Second Division ,Queens Park Rangers,First Division (- 91/92),€317k
22,Gordon Hill,https://www.transfermarkt.co.uk/gordon-hill/profil/spieler/176367,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,24,-,78/79,['England'],Manchester United,First Division (- 91/92),Derby County,First Division (- 91/92),€300k
23,Richard Páez,https://www.transfermarkt.co.uk/richard-paez/profil/spieler/601845,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Attacking Midfield,24,-,78/79,['Venezuela'],Estudiantes de Mérida,MISSING VALUE,Portuguesa FC,MISSING VALUE,€300k
24,Neil McNab,https://www.transfermarkt.co.uk/neil-mcnab/profil/spieler/454594,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Midfield,21,-,78/79,['Scotland'],Tottenham Hotspur,First Division (- 91/92),Bolton Wanderers,First Division (- 91/92),€276k
25,Joey Jones,https://www.transfermarkt.co.uk/joey-jones/profil/spieler/176093,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left-Back,23,-,78/79,['Wales'],Liverpool FC,First Division (- 91/92),Wrexham AFC,Second Division ,€250k
26,Harald Nickel,https://www.transfermarkt.co.uk/harald-nickel/profil/spieler/97310,https://img.a.transfermarkt.technology/portrait/medium/97310-1444834028.jpg?lm=1,Centre-Forward,24,-,78/79,['Germany'],Standard Liège,Eerste klasse,Eintracht Braunschweig,Bundesliga,€250k
27,Hubert Cordiez,https://www.transfermarkt.co.uk/hubert-cordiez/profil/spieler/320199,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Midfield,23,-,78/79,['Belgium'],RWD Molenbeek (- 2002),Eerste klasse,R Charleroi SC,Eerste klasse,€250k
28,Joey Jones,https://www.transfermarkt.co.uk/joey-jones/profil/spieler/176093,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left-Back,23,-,78/79,['Wales'],Liverpool FC,First Division (- 91/92),Wrexham AFC,Second Division ,€250k
29,Peter Withe,https://www.transfermarkt.co.uk/peter-withe/profil/spieler/130312,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,27,-,78/79,['England'],Nottingham Forest,First Division (- 91/92),Newcastle United,Second Division ,€250k
30,Willy Wellens,https://www.transfermarkt.co.uk/willy-wellens/profil/spieler/215622,https://img.a.transfermarkt.technology/portrait/medium/215622-1634033219.jpg?lm=1,Centre-Forward,24,-,78/79,['Belgium'],RWD Molenbeek (- 2002),Eerste klasse,Standard Liège,Eerste klasse,€250k
31,Arnold Mühren,https://www.transfermarkt.co.uk/arnold-muhren/profil/spieler/117258,https://img.a.transfermarkt.technology/portrait/medium/s_117258_123_2012_12_27_1.jpg?lm=1,Left Midfield,27,-,78/79,['Netherlands'],FC Twente '65,Eredivisie,Ipswich Town,First Division (- 91/92),€242k
32,Jan Peters,https://www.transfermarkt.co.uk/jan-peters/profil/spieler/153798,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,25,-,78/79,['Netherlands'],FC Den Bosch '67,Eerste Divisie,Feyenoord Rotterdam,Eredivisie,€227k
33,Benno Möhlmann,https://www.transfermarkt.co.uk/benno-mohlmann/profil/spieler/77480,https://img.a.transfermarkt.technology/portrait/medium/77480-1447425279.jpg?lm=1,Right Midfield,23,-,78/79,['Germany'],Preußen Münster,2. BL North,SV Werder Bremen,Bundesliga,€225k
34,Jan Ceulemans,https://www.transfermarkt.co.uk/jan-ceulemans/profil/spieler/118147,https://img.a.transfermarkt.technology/portrait/medium/118147-1634033638.jpg?lm=1,Attacking Midfield,21,-,78/79,['Belgium'],Lierse SK (-2018),Eerste klasse,Club Brugge KV,Eerste klasse,€225k
35,Alan Curbishley,https://www.transfermarkt.co.uk/alan-curbishley/profil/spieler/412975,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,21,-,78/79,['England'],West Ham United,Second Division ,Birmingham City,First Division (- 91/92),€225k
36,John Lacy,https://www.transfermarkt.co.uk/john-lacy/profil/spieler/223305,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Back,26,-,78/79,['England'],Fulham FC,Second Division ,Tottenham Hotspur,First Division (- 91/92),€220k
37,Duncan McKenzie,https://www.transfermarkt.co.uk/duncan-mckenzie/profil/spieler/304231,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,28,-,78/79,['England'],Everton FC,First Division (- 91/92),Chelsea FC,First Division (- 91/92),€209k
38,Peter Daniel,https://www.transfermarkt.co.uk/peter-daniel/profil/spieler/500970,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,22,-,78/79,['England'],Hull City,MISSING VALUE,Wolverhampton Wanderers,First Division (- 91/92),€205k
39,Isidre Tarrés,https://www.transfermarkt.co.uk/isidre-tarres/profil/spieler/363090,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,21,-,78/79,['Spain'],Burgos CF,LaLiga,FC Barcelona,LaLiga,€180k
40,Félix Palomares,https://www.transfermarkt.co.uk/felix-palomares/profil/spieler/366705,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,23,-,78/79,['Spain'],Elche CF,2ª División,FC Barcelona,LaLiga,€180k
41,Herbert Heidenreich,https://www.transfermarkt.co.uk/herbert-heidenreich/profil/spieler/97300,https://img.a.transfermarkt.technology/portrait/medium/97300-1478184461.jpg?lm=1,Left Midfield,23,-,78/79,['Germany'],Tennis Borussia Berlin,2. BL North,1.FC Nuremberg,Bundesliga,€175k
42,Gordon Smith,https://www.transfermarkt.co.uk/gordon-smith/profil/spieler/481524,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right-Back,24,-,78/79,['Scotland'],Aston Villa,First Division (- 91/92),Tottenham Hotspur,First Division (- 91/92),€173k
43,Peter Kitchen,https://www.transfermarkt.co.uk/peter-kitchen/profil/spieler/1028243,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,26,-,78/79,['England'],Leyton Orient,Second Division ,Fulham FC,Second Division ,€168k
44,Brian Kidd,https://www.transfermarkt.co.uk/brian-kidd/profil/spieler/231597,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,29,-,78/79,['England'],Manchester City,First Division (- 91/92),Everton FC,First Division (- 91/92),€167k
45,Daniel Solsona,https://www.transfermarkt.co.uk/daniel-solsona/profil/spieler/250878,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Attacking Midfield,26,-,78/79,['Spain'],RCD Español,LaLiga,Valencia CF,LaLiga,€150k
46,Mick Martin,https://www.transfermarkt.co.uk/mick-martin/profil/spieler/176380,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,26,-,78/79,['Ireland'],West Bromwich Albion,First Division (- 91/92),Newcastle United,Second Division ,€150k
47,Frank Pagelsdorf,https://www.transfermarkt.co.uk/frank-pagelsdorf/profil/spieler/77340,https://img.a.transfermarkt.technology/portrait/medium/77340-1460648284.jpg?lm=1,Sweeper,20,-,78/79,['Germany'],Hannover 96,2. BL North,Arminia Bielefeld,Bundesliga,€150k
48,Walter Schachner,https://www.transfermarkt.co.uk/walter-schachner/profil/spieler/17364,https://img.a.transfermarkt.technology/portrait/medium/17364-1466159694.jpg?lm=1,Centre-Forward,21,-,78/79,['Austria'],Donawitzer SV Alpine,2. Division,Austria Vienna,1. Division,€150k
49,Juan Carlos Álvarez,https://www.transfermarkt.co.uk/juan-carlos-alvarez/profil/spieler/310561,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,24,-,78/79,['Spain'],Valencia CF,LaLiga,Sevilla FC,LaLiga,€150k
50,Tony Kellow,https://www.transfermarkt.co.uk/tony-kellow/profil/spieler/860950,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,26,-,78/79,['England'],Exeter City,MISSING VALUE,Blackpool FC,MISSING VALUE,€143k
51,Joaquín Pichardo,https://www.transfermarkt.co.uk/joaquin-pichardo/profil/spieler/478821,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Striker,18,-,78/79,['Spain'],Recreativo Huelva,LaLiga,Sevilla FC,LaLiga,€141k
52,Pétur Pétursson,https://www.transfermarkt.co.uk/petur-petursson/profil/spieler/145619,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,19,-,78/79,['Iceland'],ÍA Akranes,MISSING VALUE,Feyenoord Rotterdam,Eredivisie,€136k
53,David Moss,https://www.transfermarkt.co.uk/david-moss/profil/spieler/483416,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,26,-,78/79,['England'],Swindon Town,MISSING VALUE,Luton Town,Second Division ,€128k
54,Murdo MacLeod,https://www.transfermarkt.co.uk/murdo-macleod/profil/spieler/95857,https://img.a.transfermarkt.technology/portrait/medium/95857-1537866495.jpg?lm=1,Defensive Midfield,20,-,78/79,['Scotland'],Dumbarton FC,MISSING VALUE,Celtic FC,MISSING VALUE,€125k
55,Gerry Ryan,https://www.transfermarkt.co.uk/gerry-ryan/profil/spieler/248980,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Striker,22,-,78/79,['Ireland'],Derby County,First Division (- 91/92),Brighton & Hove Albion,Second Division ,€120k
56,Milija Aleksic,https://www.transfermarkt.co.uk/milija-aleksic/profil/spieler/504903,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Goalkeeper,27,-,78/79,"['England', 'Serbia']",Luton Town,Second Division ,Tottenham Hotspur,First Division (- 91/92),€118k
57,Kenny Swain,https://www.transfermarkt.co.uk/kenny-swain/profil/spieler/176834,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right-Back,26,-,78/79,['England'],Chelsea FC,First Division (- 91/92),Aston Villa,First Division (- 91/92),€115k
58,Geert Meijer,https://www.transfermarkt.co.uk/geert-meijer/profil/spieler/145560,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,27,-,78/79,['Netherlands'],Ajax Amsterdam,Eredivisie,Bristol City,First Division (- 91/92),€115k
59,John Mitchell,https://www.transfermarkt.co.uk/john-mitchell/profil/spieler/223311,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,26,-,78/79,['England'],Fulham FC,Second Division ,Millwall FC,Second Division ,€110k
60,Steve Finnieston,https://www.transfermarkt.co.uk/steve-finnieston/profil/spieler/482962,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,23,-,78/79,['Scotland'],Chelsea FC,First Division (- 91/92),Sheffield United,Second Division ,€105k
61,Vic Moreland,https://www.transfermarkt.co.uk/vic-moreland/profil/spieler/299014,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Back,21,-,78/79,['Northern Ireland'],Glentoran FC,MISSING VALUE,Derby County,First Division (- 91/92),€102k
62,Imre Varadi,https://www.transfermarkt.co.uk/imre-varadi/profil/spieler/223256,https://img.a.transfermarkt.technology/portrait/medium/s_223256_123_2013_04_17_1.jpg?lm=1,Centre-Forward,19,-,78/79,"['England', 'Hungary']",Sheffield United,Second Division ,Everton FC,First Division (- 91/92),€100k
63,Bernd Schuster,https://www.transfermarkt.co.uk/bernd-schuster/profil/spieler/8025,https://img.a.transfermarkt.technology/portrait/medium/8025-1491838525.jpg?lm=1,Attacking Midfield,18,-,78/79,['Germany'],FC Augsburg U19,MISSING VALUE,1.FC Köln,Bundesliga,€100k
64,Uli Hoeneß,https://www.transfermarkt.co.uk/uli-hoeness/profil/spieler/72351,https://img.a.transfermarkt.technology/portrait/medium/72351-1434714364.jpg?lm=1,Right Winger,26,-,78/79,['Germany'],Bayern Munich,Bundesliga,1.FC Nuremberg,Bundesliga,Loan fee:€100k
65,Steve Taylor,https://www.transfermarkt.co.uk/steve-taylor/profil/spieler/105393,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,23,-,78/79,['England'],Oldham Athletic,Second Division ,Luton Town,Second Division ,€100k
66,John Matthews,https://www.transfermarkt.co.uk/john-matthews/profil/spieler/466682,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,22,-,78/79,['England'],Arsenal FC,First Division (- 91/92),Sheffield United,Second Division ,€100k
67,John Hawley,https://www.transfermarkt.co.uk/john-hawley/profil/spieler/500738,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,24,-,78/79,['England'],Hull City,MISSING VALUE,Leeds United,First Division (- 91/92),€96k
68,Chris Turner,https://www.transfermarkt.co.uk/chris-turner/profil/spieler/176513,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Goalkeeper,19,-,78/79,['England'],Sheffield Wednesday,MISSING VALUE,Sunderland AFC,Second Division ,€95k
69,John Beck,https://www.transfermarkt.co.uk/john-beck/profil/spieler/224061,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,24,-,78/79,['England'],Coventry City,First Division (- 91/92),Fulham FC,Second Division ,€94k
70,Kevin Sheedy,https://www.transfermarkt.co.uk/kevin-sheedy/profil/spieler/104111,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Midfield,18,-,78/79,"['Ireland', 'Wales']",Hereford United (- 2014),MISSING VALUE,Liverpool FC,First Division (- 91/92),€93k
71,Jan Menting,https://www.transfermarkt.co.uk/jan-menting/profil/spieler/361761,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Winger,25,-,78/79,['Netherlands'],WVV Wageningen,Eerste Divisie,KSK Tongeren (-2014),MISSING VALUE,€91k
72,Graham Bell,https://www.transfermarkt.co.uk/graham-bell/profil/spieler/802796,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,23,-,78/79,['England'],Oldham Athletic,Second Division ,Preston North End,Second Division ,€90k
73,Paul Barron,https://www.transfermarkt.co.uk/paul-barron/profil/spieler/176676,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Goalkeeper,24,-,78/79,['England'],Plymouth Argyle,MISSING VALUE,Arsenal FC,First Division (- 91/92),€90k
74,Ricardo Rezza,https://www.transfermarkt.co.uk/ricardo-rezza/profil/spieler/330184,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Defender,30,-,78/79,"['Argentina', 'Italy']",UD Salamanca,LaLiga,Sporting Gijón,LaLiga,€90k
75,Duncan McKenzie,https://www.transfermarkt.co.uk/duncan-mckenzie/profil/spieler/304231,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,28,-,78/79,['England'],Chelsea FC,First Division (- 91/92),Blackburn Rovers,Second Division ,€89k
76,Jim Pearson,https://www.transfermarkt.co.uk/jim-pearson/profil/spieler/255149,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,25,-,78/79,['Scotland'],Everton FC,First Division (- 91/92),Newcastle United,Second Division ,€86k
77,Aidan McCaffery,https://www.transfermarkt.co.uk/aidan-mccaffery/profil/spieler/498203,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Back,20,-,78/79,['England'],Newcastle United,Second Division ,Derby County,First Division (- 91/92),€85k
78,Petar Borota,https://www.transfermarkt.co.uk/petar-borota/profil/spieler/176781,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Goalkeeper,26,-,78/79,['Serbia'],FK Partizan Belgrade,MISSING VALUE,Chelsea FC,First Division (- 91/92),€82k
79,José Mari Amorrortu,https://www.transfermarkt.co.uk/jose-mari-amorrortu/profil/spieler/155493,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Winger,24,-,78/79,['Spain'],Athletic Bilbao,LaLiga,Real Zaragoza CD,LaLiga,€78k
80,Ademir,https://www.transfermarkt.co.uk/ademir/profil/spieler/311030,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,26,-,78/79,"['Brazil', 'Portugal']",FC Porto,MISSING VALUE,Celta de Vigo,LaLiga,€78k
81,Mel Holden,https://www.transfermarkt.co.uk/mel-holden/profil/spieler/242624,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,24,-,78/79,['Scotland'],Blackpool FC,MISSING VALUE,PEC Zwolle,Eredivisie,€75k
82,Jonathon Clark,https://www.transfermarkt.co.uk/jonathon-clark/profil/spieler/176397,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,19,-,78/79,['Wales'],Manchester United,First Division (- 91/92),Derby County,First Division (- 91/92),€75k
83,Louis van Gaal,https://www.transfermarkt.co.uk/louis-van-gaal/profil/spieler/150899,https://img.a.transfermarkt.technology/portrait/medium/150899-1487243620.jpg?lm=1,Central Midfield,26,-,78/79,['Netherlands'],SC Telstar,Eerste Divisie,Sparta Rotterdam,Eredivisie,€73k
84,Chris Guthrie,https://www.transfermarkt.co.uk/chris-guthrie/profil/spieler/227251,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,25,-,78/79,['England'],Swindon Town,MISSING VALUE,Fulham FC,Second Division ,€73k
85,Terry Curran,https://www.transfermarkt.co.uk/terry-curran/profil/spieler/301825,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Winger,23,-,78/79,['England'],Derby County,First Division (- 91/92),Southampton FC,First Division (- 91/92),€72k
86,Roger Gibbins,https://www.transfermarkt.co.uk/roger-gibbins/profil/spieler/653291,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,22,-,78/79,['England'],Norwich City,First Division (- 91/92),New England Tea Men,MISSING VALUE,€69k
87,Jos Peltzer,https://www.transfermarkt.co.uk/jos-peltzer/profil/spieler/314661,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Winger,24,-,78/79,['Netherlands'],Sparta Rotterdam,Eredivisie,SC Cambuur,Eerste Divisie,€68k
88,Ali Kemal Denizci,https://www.transfermarkt.co.uk/ali-kemal-denizci/profil/spieler/241982,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Winger,28,-,78/79,['Türkiye'],Trabzonspor,Süper Lig,Fenerbahce,Süper Lig,€67k
