transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
111,Ian Wilson,https://www.transfermarkt.co.uk/ian-wilson/profil/spieler/222910,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,21,-,78/79,['Scotland'],Elgin City FC,MISSING VALUE,Leicester City,Second Division ,€30k
112,Mick Bates,https://www.transfermarkt.co.uk/mick-bates/profil/spieler/251036,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Midfield,30,-,78/79,['England'],Walsall FC,MISSING VALUE,Bradford City,MISSING VALUE,€30k
113,Barney Bowers,https://www.transfermarkt.co.uk/barney-bowers/profil/spieler/182696,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,18,-,78/79,['Northern Ireland'],Cliftonville FC,MISSING VALUE,Derby County,First Division (- 91/92),€29k
114,Peter Osgood,https://www.transfermarkt.co.uk/peter-osgood/profil/spieler/176754,https://img.a.transfermarkt.technology/portrait/medium/176754-1673275573.jpg?lm=1,Centre-Forward,31,-,78/79,['England'],Philadelphia Fury,MISSING VALUE,Chelsea FC,First Division (- 91/92),€29k
115,Mal Donaghy,https://www.transfermarkt.co.uk/mal-donaghy/profil/spieler/117755,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left-Back,20,-,78/79,['Northern Ireland'],Larne FC,MISSING VALUE,Luton Town,Second Division ,€25k
116,Bryan Hamilton,https://www.transfermarkt.co.uk/bryan-hamilton/profil/spieler/177196,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,31,-,78/79,['Northern Ireland'],Millwall FC,Second Division ,Swindon Town,MISSING VALUE,€25k
117,Mario Killer,https://www.transfermarkt.co.uk/mario-killer/profil/spieler/505123,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Defender,26,-,78/79,['Argentina'],Sporting Gijón,LaLiga,Real Betis Balompié,2ª División,€24k
118,Manolo Clares,https://www.transfermarkt.co.uk/manolo-clares/profil/spieler/257950,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Striker,30,-,78/79,['Spain'],FC Barcelona,LaLiga,AD Rayo Vallecano,LaLiga,€24k
119,Dick Ernst,https://www.transfermarkt.co.uk/dick-ernst/profil/spieler/243201,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Winger,21,-,78/79,['Netherlands'],Feyenoord Rotterdam,Eredivisie,RV &amp; AV Excelsior,Eerste Divisie,€23k
120,Dean Smith,https://www.transfermarkt.co.uk/dean-smith/profil/spieler/560405,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,19,-,78/79,['England'],Leicester City,Second Division ,Brentford FC,MISSING VALUE,€23k
