transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
11,Declan Rice,https://www.transfermarkt.co.uk/declan-rice/profil/spieler/357662,https://img.a.transfermarkt.technology/portrait/medium/357662-1687962936.jpg?lm=1,Defensive Midfield,24,90000000,23/24,"['England', 'Ireland']",West Ham United,Premier League,Arsenal FC,Premier League,116600000
12,Moisés Caicedo,https://www.transfermarkt.co.uk/moises-caicedo/profil/spieler/687626,https://img.a.transfermarkt.technology/portrait/medium/687626-1660729724.jpg?lm=1,Defensive Midfield,21,75000000,23/24,['Ecuador'],Brighton & Hove Albion,Premier League,Chelsea FC,Premier League,116000000
13,Romelu Lukaku,https://www.transfermarkt.co.uk/romelu-lukaku/profil/spieler/96341,https://img.a.transfermarkt.technology/portrait/medium/96341-1661780981.jpg?lm=1,Centre-Forward,28,100000000,21/22,"['Belgium', 'DR Congo']",Inter Milan,Serie A,Chelsea FC,Premier League,113000000
14,Paul Pogba,https://www.transfermarkt.co.uk/paul-pogba/profil/spieler/122153,https://img.a.transfermarkt.technology/portrait/medium/122153-1582114937.jpg?lm=1,Central Midfield,23,70000000,16/17,"['France', 'Guinea']",Juventus FC,Serie A,Manchester United,Premier League,105000000
15,Jude Bellingham,https://www.transfermarkt.co.uk/jude-bellingham/profil/spieler/581678,https://img.a.transfermarkt.technology/portrait/medium/581678-1693987944.jpg?lm=1,Attacking Midfield,20,120000000,23/24,"['England', 'Ireland']",Borussia Dortmund,Bundesliga,Real Madrid,LaLiga,103000000
16,Gareth Bale,https://www.transfermarkt.co.uk/gareth-bale/profil/spieler/39381,https://img.a.transfermarkt.technology/portrait/medium/39381-1658665343.jpg?lm=1,Right Winger,24,65000000,13/14,['Wales'],Tottenham Hotspur,Premier League,Real Madrid,LaLiga,101000000
17,Harry Kane,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098,https://img.a.transfermarkt.technology/portrait/medium/132098-1700211169.jpg?lm=1,Centre-Forward,30,90000000,23/24,['England'],Tottenham Hotspur,Premier League,Bayern Munich,Bundesliga,95000000
18,Randal Kolo Muani,https://www.transfermarkt.co.uk/randal-kolo-muani/profil/spieler/487969,https://img.a.transfermarkt.technology/portrait/medium/487969-1718697120.jpg?lm=1,Centre-Forward,24,80000000,23/24,"['France', 'DR Congo']",Eintracht Frankfurt,Bundesliga,Paris Saint-Germain,Ligue 1,95000000
19,Antony,https://www.transfermarkt.co.uk/antony/profil/spieler/602105,https://img.a.transfermarkt.technology/portrait/medium/602105-1680698738.jpg?lm=1,Right Winger,22,35000000,22/23,['Brazil'],Ajax Amsterdam,Eredivisie,Manchester United,Premier League,95000000
20,Cristiano Ronaldo,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,https://img.a.transfermarkt.technology/portrait/medium/8198-1694609670.jpg?lm=1,Centre-Forward,24,60000000,09/10,['Portugal'],Manchester United,Premier League,Real Madrid,LaLiga,94000000
21,Josko Gvardiol,https://www.transfermarkt.co.uk/josko-gvardiol/profil/spieler/475959,https://img.a.transfermarkt.technology/portrait/medium/475959-1713391602.jpg?lm=1,Left-Back,21,75000000,23/24,['Croatia'],RB Leipzig,Bundesliga,Manchester City,Premier League,90000000
